valid_precision,valid_recall,valid_f1_score,valid_avg_loss,epoch,step,train_loss,train_precision,train_recall,train_f1_score,lr,train_avg_loss
0.8498063683509827,0.8386271595954895,0.8441797494888306,0.35007473826408386,9,629,,,,,,
,,,,10,629,0.36702144145965576,0.796971321105957,0.8505991101264954,0.8229124546051025,9.999994654208422e-05,0.36555689573287964
0.7876473665237427,0.8847442865371704,0.8333771824836731,0.3043333888053894,10,692,,,,,,
,,,,11,692,0.32100653648376465,0.823784351348877,0.8459005355834961,0.8346959352493286,9.999994654208422e-05,0.31957730650901794
0.8508079648017883,0.8290886282920837,0.8398078680038452,0.2838304340839386,11,755,,,,,,
,,,,12,755,0.2748086452484131,0.8534104824066162,0.8662747144699097,0.8597944974899292,9.999994654208422e-05,0.275573194026947
0.8630334138870239,0.8282729387283325,0.8452959656715393,0.24838848412036896,12,818,,,,,,
,,,,13,818,0.25898948311805725,0.8487390875816345,0.8522388935089111,0.8504853844642639,9.999994654208422e-05,0.2592088282108307
0.8749626874923706,0.8847293853759766,0.8798189759254456,0.20197758078575134,13,881,,,,,,
,,,,14,881,0.22239114344120026,0.8686010837554932,0.8684508204460144,0.8685259819030762,9.999994654208422e-05,0.22363266348838806
0.8943166732788086,0.8378077149391174,0.865140438079834,0.2025151252746582,14,944,,,,,,
,,,,15,944,0.21435967087745667,0.874576210975647,0.8585538268089294,0.8664909601211548,9.999994654208422e-05,0.21556887030601501
0.8977311253547668,0.8198145031929016,0.8570054769515991,0.19914397597312927,15,1007,,,,,,
,,,,16,1007,0.20523951947689056,0.8723869323730469,0.8554803729057312,0.8638509511947632,9.999994654208422e-05,0.20520807802677155
0.859786331653595,0.827904224395752,0.8435441255569458,0.19678369164466858,16,1070,,,,,,
,,,,17,1070,0.19841571152210236,0.8813528418540955,0.8528344631195068,0.8668591380119324,9.999994654208422e-05,0.19802071154117584
0.8645782470703125,0.7827703356742859,0.8216429948806763,0.20066916942596436,17,1133,,,,,,
,,,,18,1133,0.19435493648052216,0.8845012187957764,0.8472394943237305,0.8654694557189941,9.999994654208422e-05,0.19418850541114807
